=== libciper.so exported/defined symbols (crypto primitives) ===
382 0x00005890 0x00005890 GLOBAL FUNC   140      endBuildTerminalPropertyRecord
384 0x00003850 0x00003850 GLOBAL FUNC   50       Java_com_honeywell_comm_JNIRequest_jniBeginBuildFileBlockCRCRecord
386 0x00005060 0x00005060 GLOBAL FUNC   380      buildFileBlockRecord
387 0x000031fc 0x000031fc GLOBAL FUNC   164      toTerminalProperty
389 0x0000618c 0x0000618c GLOBAL FUNC   136      buildMessageFromPatternReplyRecord
391 0x0000371c 0x0000371c GLOBAL FUNC   26       Java_com_honeywell_comm_JNIRequest_jniGetReceivedIOCommand
394 0x0000b010 0x0000c010 GLOBAL OBJ    4        createResponseStatus
395 0x000038d4 0x000038d4 GLOBAL FUNC   36       Java_com_honeywell_comm_JNIRequest_jniBuildAddTerminalPropertyToRecord
396 ---------- 0x0000c060 GLOBAL OBJ    4        receiveErrorCount
397 ---------- 0x0000c034 GLOBAL NOTYPE 0        __bss_start__
399 0x00003574 0x00003574 GLOBAL FUNC   204      jvmr_init
400 0x00007004 0x00007004 GLOBAL FUNC   788      masterslaveReadSylkFileData
402 0x0000b014 0x0000c014 GLOBAL OBJ    4        simulationCount
403 0x00003a80 0x00003a80 GLOBAL FUNC   24       Java_com_honeywell_comm_JNIRequest_jniHasNextPvid
404 0x0000845c 0x0000845c GLOBAL FUNC   108      crc_ccitt_add
406 0x0000627c 0x0000627c GLOBAL FUNC   392      handlePatternMessage
407 0x0000a91c 0x0000a91c GLOBAL NOTYPE 0        __exidx_start
408 0x000052bc 0x000052bc GLOBAL FUNC   92       handleFileBlockMessage
410 0x00006514 0x00006514 GLOBAL FUNC   92       error_abort
411 ---------- 0x0000cc10 GLOBAL OBJ    500      fileblockrecordbuffer
412 0x00003938 0x00003938 GLOBAL FUNC   26       Java_com_honeywell_comm_JNIRequest_jniNextTpid
413 0x00003640 0x00003640 GLOBAL FUNC   36       isJNIRequestReady
414 0x00006570 0x00006570 GLOBAL FUNC   52       lockMutexSerial
416 0x000034b8 0x000034b8 GLOBAL FUNC   188      debugTerminalPropertyWithValue
417 0x00006d24 0x00006d24 GLOBAL FUNC   128      write_serial_record
418 0x00008674 0x00008674 GLOBAL FUNC   252      buildMessage
419 0x00003b6c 0x00003b6c GLOBAL FUNC   200      Java_com_honeywell_comm_JNIRequest_jniFileOpen
420 0x00005da0 0x00005da0 GLOBAL FUNC   112      beginBuildPublicVariableRecord
421 0x00006140 0x00006140 GLOBAL FUNC   76       addPatternReplyCharToRecord
423 0x000065a4 0x000065a4 GLOBAL FUNC   52       unlockMutexSerial
424 0x00005d00 0x00005d00 GLOBAL FUNC   144      handleLinearMessage
425 ---------- 0x0000d7e8 GLOBAL OBJ    4        g_DbgTopic
426 0x00003c34 0x00003c34 GLOBAL FUNC   200      Java_com_honeywell_comm_JNIRequest_jniFileClose
427 0x00006404 0x00006404 GLOBAL FUNC   32       patternResetHasNext
428 0x0000b00c 0x0000c00c GLOBAL OBJ    4        createRequestStatus
429 0x00003af0 0x00003af0 GLOBAL FUNC   34       Java_com_honeywell_comm_JNIRequest_jniAddPatternReplyCharToRecord
430 0x0000427c 0x0000427c GLOBAL FUNC   416      Java_com_honeywell_comm_JNIRequest_jniReadFromFile
431 0x00005380 0x00005380 GLOBAL FUNC   968      handleFileDataMessage
432 0x00003664 0x00003664 GLOBAL FUNC   88       Java_com_honeywell_comm_JNIRequest_jniSetLibraryDebugLevel
434 0x000064ec 0x000064ec GLOBAL FUNC   40       initCommRequest
436 0x000060f4 0x000060f4 GLOBAL FUNC   76       buildPatternReplyRecord
438 0x00008620 0x00008620 GLOBAL FUNC   84       debug_elapsed_timer
440 0x00008590 0x00008590 GLOBAL FUNC   92       elapsed_timer
442 0x000067b8 0x000067b8 GLOBAL FUNC   220      serial_connect
443 ---------- 0x0000d818 GLOBAL NOTYPE 0        __bss_end__
444 0x0000b004 0x0000c004 GLOBAL OBJ    4        fileoperationstatus
445 0x0000502c 0x0000502c GLOBAL FUNC   52       SetSendMessage
446 0x00006a04 0x00006a04 GLOBAL FUNC   256      select_serial_nowait
448 0x00008a58 0x00008a58 GLOBAL FUNC   60       dataToRecord
449 0x00008104 0x00008104 GLOBAL FUNC   428      masterslavefilestatus
451 0x00007f30 0x00007f30 GLOBAL FUNC   468      masterslavefileopenv2
453 0x00004808 0x00004808 GLOBAL FUNC   128      debugPrintf
454 0x000039dc 0x000039dc GLOBAL FUNC   36       Java_com_honeywell_comm_JNIRequest_jniEndBuildLinearRecord
455 0x00004ffc 0x00004ffc GLOBAL FUNC   24       getReceiveIOCommandStatus
456 ---------- 0x0000d7ec GLOBAL OBJ    4        g_DbgLevel
457 0x0000391c 0x0000391c GLOBAL FUNC   26       Java_com_honeywell_comm_JNIRequest_jniHasNextTpid
458 0x00003a18 0x00003a18 GLOBAL FUNC   32       Java_com_honeywell_comm_JNIRequest_jniBeginBuildPublicVariableRecord
460 0x00003cfc 0x00003cfc GLOBAL FUNC   288      Java_com_honeywell_comm_JNIRequest_jniFileStatus
461 0x000045b0 0x000045b0 GLOBAL FUNC   300      Java_com_honeywell_comm_JNIRequest_jniRunShellCommand
462 0x00005f24 0x00005f24 GLOBAL FUNC   148      handlePublicVariableMessage
463 0x000038b4 0x000038b4 GLOBAL FUNC   32       Java_com_honeywell_comm_JNIRequest_jniBeginBuildTerminalPropertyRecord
464 ---------- 0x0000c05c GLOBAL OBJ    4        sendCount
465 0x000030d0 0x000030d0 GLOBAL NOTYPE 0        _btext
467 0x00006650 0x00006650 GLOBAL FUNC   360      tty_raw
468 0x000082b0 0x000082b0 GLOBAL FUNC   428      masterslavefileclosev2
469 0x00003738 0x00003738 GLOBAL FUNC   24       Java_com_honeywell_comm_JNIRequest_jniGetReceivedIOCommandStatus
470 0x00005e10 0x00005e10 GLOBAL FUNC   136      buildAddPublicVariableToRecord
472 0x00008a94 0x00008a94 GLOBAL FUNC   128      printBanner
473 0x00007318 0x00007318 GLOBAL FUNC   1668     GetAllFilesInFolder
474 0x000046dc 0x000046dc GLOBAL FUNC   300      Java_com_honeywell_comm_JNIRequest_jniCreateFile
476 ---------- 0x0000c034 GLOBAL NOTYPE 0        __bss_start
478 0x000088ec 0x000088ec GLOBAL FUNC   362      receiveSerialMessage
479 0x00003494 0x00003494 GLOBAL FUNC   34       debugTPIdWithValue
480 ---------- 0x0000ce04 GLOBAL OBJ    520      fileblockrecordmessage
481 0x000059b8 0x000059b8 GLOBAL FUNC   84       receiveHasNextTerminalProperty
482 0x00005fb8 0x00005fb8 GLOBAL FUNC   84       receiveHasNextPublicVariable
483 0x00003b38 0x00003b38 GLOBAL FUNC   24       Java_com_honeywell_comm_JNIRequest_jniPatternHasNext
487 0x0000600c 0x0000600c GLOBAL FUNC   92       receiveNextPublicVariable
488 ---------- 0x0000d818 GLOBAL NOTYPE 0        __end__
489 0x000065d8 0x000065d8 GLOBAL FUNC   120      open_port
490 0x00004888 0x00004888 GLOBAL FUNC   116      current_timestamp_str
491 0x00006214 0x00006214 GLOBAL FUNC   104      buildMessageForPatternDebugRequest
494 0x000087b4 0x000087b4 GLOBAL FUNC   148      sendMessageNoAck
495 0x000048fc 0x000048fc GLOBAL FUNC   1768     requestOneMessage
496 0x000039b0 0x000039b0 GLOBAL FUNC   42       Java_com_honeywell_comm_JNIRequest_jniBuildAddLinearCountsToRecord
497 0x0000799c 0x0000799c GLOBAL FUNC   192      CreateFile
498 0x00007b0c 0x00007b0c GLOBAL FUNC   424      WriteToFile
499 0x00005758 0x00005758 GLOBAL FUNC   176      beginBuildTerminalPropertyRecord
500 0x0000b008 0x0000c008 GLOBAL OBJ    4        filereadstatus
501 0x00003768 0x00003768 GLOBAL FUNC   232      Java_com_honeywell_comm_JNIRequest_jniBeginBuildFileBlockRecord
502 0x00005af4 0x00005af4 GLOBAL FUNC   92       beginBuildLinearRecord
503 0x00003ab0 0x00003ab0 GLOBAL FUNC   32       Java_com_honeywell_comm_JNIRequest_jniNextPvidValue
504 0x00003a98 0x00003a98 GLOBAL FUNC   24       Java_com_honeywell_comm_JNIRequest_jniNextPvid
505 0x00008574 0x00008574 GLOBAL FUNC   28       start_timer
506 0x0000441c 0x0000441c GLOBAL FUNC   404      Java_com_honeywell_comm_JNIRequest_jniWriteToFile
507 0x00005a68 0x00005a68 GLOBAL FUNC   140      receiveNextValueTerminalProperty
508 0x00006b04 0x00006b04 GLOBAL FUNC   544      read_serial_record
511 0x00006894 0x00006894 GLOBAL FUNC   108      validate_serial_connection
512 0x00008770 0x00008770 GLOBAL FUNC   66       compareMessageId
513 0x00003e1c 0x00003e1c GLOBAL FUNC   372      Java_com_honeywell_comm_JNIRequest_jniSendFileData
515 ---------- 0x0000c034 GLOBAL NOTYPE 0        _edata
516 0x00005014 0x00005014 GLOBAL FUNC   24       getReceiveDeviceFlags
517 ---------- 0x0000d818 GLOBAL NOTYPE 0        _end
518 0x00003884 0x00003884 GLOBAL FUNC   24       Java_com_honeywell_comm_JNIRequest_jniEndBuildFileBlockRecord
520 0x00003750 0x00003750 GLOBAL FUNC   24       Java_com_honeywell_comm_JNIRequest_jniGetReceivedDeviceFlags
521 0x00003330 0x00003330 GLOBAL FUNC   156      debugTPIO
522 0x0000397c 0x0000397c GLOBAL FUNC   50       Java_com_honeywell_comm_JNIRequest_jniBeginBuildLinearRecord
523 0x000052ac 0x000052ac GLOBAL FUNC   14       endBuildFileBlockRecord
524 0x00005b50 0x00005b50 GLOBAL FUNC   132      buildAddLinearCountsToRecord
525 0x00005318 0x00005318 GLOBAL FUNC   104      mshandleFileBlockMessage
526 0x0000b018 0x0000c018 GLOBAL OBJ    4        gbl_fd
527 0x00003a38 0x00003a38 GLOBAL FUNC   36       Java_com_honeywell_comm_JNIRequest_jniBuildAddPublicVariableToRecord
528 0x00006900 0x00006900 GLOBAL FUNC   260      select_serial
529 0x00005808 0x00005808 GLOBAL FUNC   136      buildAddTerminalPropertyToRecord
532 0x00005e98 0x00005e98 GLOBAL FUNC   140      endBuildPublicVariableRecord
